"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US17031820901","Census Tract 8209.01, Cook County, Illinois","1964","299","3","5","0","12","113","73","146","75","264","95","362","109","500","296","356","118","67","47","153","90",
"1400000US17031820902","Census Tract 8209.02, Cook County, Illinois","1728","220","0","17","0","17","175","109","134","128","124","68","238","100","675","195","306","120","44","34","32","38",
"1400000US17031821001","Census Tract 8210.01, Cook County, Illinois","1663","176","6","10","12","19","25","24","135","75","157","77","219","82","446","119","531","173","97","72","35","42",
"1400000US17031821002","Census Tract 8210.02, Cook County, Illinois","1821","183","0","17","0","17","126","68","32","23","135","84","221","83","447","179","656","160","165","88","39","39",
"1400000US17031821101","Census Tract 8211.01, Cook County, Illinois","1417","143","12","19","0","12","178","94","152","60","35","30","120","49","266","105","553","128","62","45","39","42",
"1400000US17031821102","Census Tract 8211.02, Cook County, Illinois","1552","231","17","27","0","12","16","22","54","37","57","49","161","63","412","209","537","142","202","147","96","70",
"1400000US17031821200","Census Tract 8212, Cook County, Illinois","2349","245","17","28","0","17","0","17","222","162","17","29","206","137","324","134","553","213","177","154","833","244",
"1400000US17031821300","Census Tract 8213, Cook County, Illinois","2216","274","0","17","106","58","141","101","81","63","77","61","324","147","347","179","295","124","312","120","533","150",
"1400000US17031821401","Census Tract 8214.01, Cook County, Illinois","1575","236","0","12","0","12","5","8","37","46","56","73","427","190","193","92","709","181","52","48","96","54",
"1400000US17031821402","Census Tract 8214.02, Cook County, Illinois","1603","198","0","12","76","75","219","119","82","51","14","21","68","59","273","108","619","182","138","80","114","73",
"1400000US17031821500","Census Tract 8215, Cook County, Illinois","972","117","0","12","0","12","68","33","18","16","27","24","131","48","219","61","225","76","45","27","239","69",
"1400000US17031821600","Census Tract 8216, Cook County, Illinois","1825","230","0","12","11","18","48","40","51","45","56","52","187","98","290","109","694","210","302","116","186","129",
"1400000US17031821700","Census Tract 8217, Cook County, Illinois","1778","155","0","12","0","12","29","38","23","20","21","33","116","77","396","111","671","143","338","99","184","99",
"1400000US17031821800","Census Tract 8218, Cook County, Illinois","2085","241","0","17","0","17","21","23","60","49","77","53","176","109","250","112","798","230","519","167","184","78",
"1400000US17031821900","Census Tract 8219, Cook County, Illinois","1760","133","0","17","0","17","0","17","38","27","12","15","111","63","329","114","875","126","301","90","94","58",
"1400000US17031822000","Census Tract 8220, Cook County, Illinois","1846","172","0","12","0","12","0","12","33","39","0","12","44","42","178","74","1316","185","151","75","124","76",
"1400000US17031822101","Census Tract 8221.01, Cook County, Illinois","1655","153","0","12","0","12","146","61","0","12","20","23","82","43","261","98","637","174","351","101","158","67",
"1400000US17031822102","Census Tract 8221.02, Cook County, Illinois","2089","226","0","12","0","12","62","79","164","97","331","188","539","205","792","264","142","92","52","67","7","16",
"1400000US17031822200","Census Tract 8222, Cook County, Illinois","1274","132","0","12","0","12","0","12","10","16","23","24","133","67","256","87","624","147","181","88","47","38",
"1400000US17031822301","Census Tract 8223.01, Cook County, Illinois","1209","88","33","44","9","15","58","39","151","76","164","76","316","119","191","90","203","80","53","46","31","29",
"1400000US17031822302","Census Tract 8223.02, Cook County, Illinois","1659","206","0","12","38","36","86","47","228","83","206","74","356","181","294","107","219","83","160","101","72","56",
"1400000US17031822400","Census Tract 8224, Cook County, Illinois","2344","291","14","22","0","17","51","52","139","87","362","149","737","212","524","176","383","160","118","90","16","23",
"1400000US17031822500","Census Tract 8225, Cook County, Illinois","1665","172","0","12","0","12","102","68","70","45","62","36","157","65","400","137","406","125","254","105","214","75",
"1400000US17031822601","Census Tract 8226.01, Cook County, Illinois","1577","101","0","12","11","18","7","12","86","61","111","59","277","106","280","100","589","105","182","81","34","37",
"1400000US17031822602","Census Tract 8226.02, Cook County, Illinois","3237","625","0","17","55","87","253","132","504","152","854","636","617","204","772","257","182","76","0","17","0","17",
"1400000US17031822701","Census Tract 8227.01, Cook County, Illinois","2024","210","0","12","0","12","0","12","0","12","147","120","604","213","672","196","370","108","231","103","0","12",
"1400000US17031822702","Census Tract 8227.02, Cook County, Illinois","1582","178","0","12","0","12","0","12","112","59","183","80","347","157","591","178","294","75","55","52","0","12",
"1400000US17031822801","Census Tract 8228.01, Cook County, Illinois","1502","158","0","12","0","12","46","46","50","41","206","94","558","174","458","123","84","53","32","27","68","70",
"1400000US17031822802","Census Tract 8228.02, Cook County, Illinois","1346","171","0","12","7","12","22","13","0","12","58","45","147","64","332","72","709","197","25","23","46","58",
"1400000US17031822900","Census Tract 8229, Cook County, Illinois","881","172","10","16","0","12","10","14","3","9","89","68","45","50","263","157","432","112","6","9","23","28",
"1400000US17031823001","Census Tract 8230.01, Cook County, Illinois","2942","269","0","17","0","17","184","131","246","134","357","165","841","255","822","325","185","113","193","186","114","92",
"1400000US17031823002","Census Tract 8230.02, Cook County, Illinois","2158","248","0","17","30","35","0","17","159","167","302","172","360","163","371","198","667","218","205","161","64","68",
"1400000US17031823101","Census Tract 8231.01, Cook County, Illinois","1711","186","0","12","28","26","136","63","83","57","176","87","416","138","252","98","495","126","49","51","76","69",
"1400000US17031823102","Census Tract 8231.02, Cook County, Illinois","1458","133","0","12","0","12","55","43","42","35","223","83","117","74","334","179","513","167","154","75","20","26",
"1400000US17031823200","Census Tract 8232, Cook County, Illinois","1955","191","14","22","0","12","172","80","370","113","410","131","522","136","85","44","200","89","152","89","30","34",
"1400000US17031823302","Census Tract 8233.02, Cook County, Illinois","2909","551","0","17","0","17","208","182","401","162","411","143","503","197","1144","618","178","117","0","17","64","61",
"1400000US17031823303","Census Tract 8233.03, Cook County, Illinois","1647","210","0","12","0","12","14","18","224","105","76","61","395","181","396","135","505","149","13","17","24","27",
"1400000US17031823304","Census Tract 8233.04, Cook County, Illinois","2822","224","0","17","0","17","171","98","132","67","299","133","648","218","634","183","542","145","268","105","128","106",
"1400000US17031823400","Census Tract 8234, Cook County, Illinois","2053","200","13","23","7","12","122","85","118","74","12","18","154","94","188","97","535","162","108","72","796","213",
"1400000US17031823500","Census Tract 8235, Cook County, Illinois","1689","183","0","12","0","12","17","24","14","21","114","94","86","59","344","123","287","108","76","62","751","149",
"1400000US17031823602","Census Tract 8236.02, Cook County, Illinois","3173","367","27","44","16","25","431","213","394","143","634","252","707","190","505","144","366","151","78","72","15","24",
"1400000US17031823603","Census Tract 8236.03, Cook County, Illinois","659","92","0","12","14","21","25","32","7","10","29","39","106","57","105","56","164","63","32","36","177","72",
"1400000US17031823604","Census Tract 8236.04, Cook County, Illinois","1351","171","0","12","12","17","257","78","42","22","173","81","67","43","316","75","304","100","131","70","49","30",
"1400000US17031823605","Census Tract 8236.05, Cook County, Illinois","1546","160","0","12","0","12","66","42","79","54","209","90","659","182","302","95","212","70","4","7","15","22",
"1400000US17031823702","Census Tract 8237.02, Cook County, Illinois","2795","299","0","17","0","17","102","90","450","148","276","136","1288","318","282","113","267","162","82","72","48","46",
"1400000US17031823703","Census Tract 8237.03, Cook County, Illinois","3187","341","37","44","0","17","573","211","635","201","705","246","692","289","281","165","144","101","65","56","55","76",
"1400000US17031823704","Census Tract 8237.04, Cook County, Illinois","1355","177","15","24","0","12","13","22","172","104","76","91","149","78","767","138","126","65","24","24","13","20",
"1400000US17031823705","Census Tract 8237.05, Cook County, Illinois","1600","196","12","20","0","12","14","17","46","45","189","76","457","162","531","167","219","73","43","32","89","64",
"1400000US17031823801","Census Tract 8238.01, Cook County, Illinois","2448","216","10","18","0","17","362","179","472","170","1065","180","286","126","55","45","138","123","18","28","42","70",
"1400000US17031823803","Census Tract 8238.03, Cook County, Illinois","2720","315","26","42","0","17","128","129","253","136","426","180","1178","259","424","182","228","137","43","35","14","24",
"1400000US17031823805","Census Tract 8238.05, Cook County, Illinois","1536","171","0","12","0","12","21","35","154","58","160","52","1012","179","155","76","0","12","0","12","34","45",
"1400000US17031823806","Census Tract 8238.06, Cook County, Illinois","1816","252","0","12","0","12","83","48","30","25","436","221","467","144","108","75","617","143","8","13","67","61",
"1400000US17031823901","Census Tract 8239.01, Cook County, Illinois","1880","199","12","19","14","20","247","63","362","110","195","108","237","128","248","107","360","115","54","43","151","86",
"1400000US17031823903","Census Tract 8239.03, Cook County, Illinois","1759","209","0","12","14","20","59","35","114","43","236","79","614","199","243","65","420","113","45","44","14","18",
"1400000US17031823904","Census Tract 8239.04, Cook County, Illinois","1778","145","59","96","6","9","29","25","68","38","434","89","522","127","140","70","399","105","104","55","17","25",
"1400000US17031824003","Census Tract 8240.03, Cook County, Illinois","2034","191","12","21","0","17","433","109","531","129","446","162","185","107","131","99","96","55","12","19","188","93",
"1400000US17031824004","Census Tract 8240.04, Cook County, Illinois","2132","218","15","24","0","17","268","122","628","193","411","188","187","95","80","66","145","82","12","19","386","182",
"1400000US17031824005","Census Tract 8240.05, Cook County, Illinois","1986","223","120","79","23","31","291","79","645","206","223","83","196","96","141","53","122","62","27","25","198","78",
"1400000US17031824006","Census Tract 8240.06, Cook County, Illinois","1699","195","302","136","85","52","375","142","545","122","122","62","113","47","53","51","30","28","17","18","57","46",
"1400000US17031824105","Census Tract 8241.05, Cook County, Illinois","2850","438","56","39","14","22","242","74","145","68","1161","421","1101","227","25","30","106","56","0","17","0","17",
"1400000US17031824106","Census Tract 8241.06, Cook County, Illinois","2494","286","0","17","0","17","53","81","561","293","1160","171","556","137","108","69","23","22","11","17","22","25",
"1400000US17031824107","Census Tract 8241.07, Cook County, Illinois","2795","244","0","17","0","17","190","122","347","126","740","202","1426","238","42","47","5","8","11","19","34","38",
"1400000US17031824113","Census Tract 8241.13, Cook County, Illinois","2452","329","27","43","0","17","540","161","821","282","756","227","225","120","12","21","19","32","52","86","0","17",
"1400000US17031824114","Census Tract 8241.14, Cook County, Illinois","1911","201","181","147","26","23","445","92","422","91","119","46","127","44","155","97","333","83","52","50","51","40",
"1400000US17031824115","Census Tract 8241.15, Cook County, Illinois","1625","262","0","12","0","12","23","18","229","212","360","102","418","109","502","177","75","45","0","12","18","22",
"1400000US17031824116","Census Tract 8241.16, Cook County, Illinois","2320","202","40","32","255","93","95","57","484","119","429","122","407","125","209","81","149","87","213","178","39","33",
"1400000US17031824119","Census Tract 8241.19, Cook County, Illinois","2303","283","50","78","0","17","463","128","1348","257","262","97","79","67","13","22","38","41","50","85","0","17",
