"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"1400000US17031071300","Census Tract 713, Cook County, Illinois","2223","406","2184","413","39","48",
"1400000US17031071400","Census Tract 714, Cook County, Illinois","3103","362","2847","408","256","173",
"1400000US17031071500","Census Tract 715, Cook County, Illinois","4137","316","3805","301","332","193",
"1400000US17031071600","Census Tract 716, Cook County, Illinois","777","75","745","82","32","27",
"1400000US17031071700","Census Tract 717, Cook County, Illinois","710","77","656","82","54","47",
"1400000US17031071800","Census Tract 718, Cook County, Illinois","1092","178","1049","170","43","55",
"1400000US17031080100","Census Tract 801, Cook County, Illinois","4829","400","4139","447","690","256",
"1400000US17031080201","Census Tract 802.01, Cook County, Illinois","2617","438","2167","467","450","211",
"1400000US17031080202","Census Tract 802.02, Cook County, Illinois","2709","243","2293","282","416","184",
"1400000US17031080300","Census Tract 803, Cook County, Illinois","3107","236","2837","238","270","164",
"1400000US17031080400","Census Tract 804, Cook County, Illinois","2064","373","1966","381","98","92",
"1400000US17031081000","Census Tract 810, Cook County, Illinois","5988","781","4882","803","1106","406",
"1400000US17031081100","Census Tract 811, Cook County, Illinois","3175","320","2940","323","235","145",
"1400000US17031081201","Census Tract 812.01, Cook County, Illinois","3770","310","3013","280","757","309",
"1400000US17031081202","Census Tract 812.02, Cook County, Illinois","2403","348","1811","331","592","210",
"1400000US17031081300","Census Tract 813, Cook County, Illinois","4130","503","3561","541","569","242",
"1400000US17031081401","Census Tract 814.01, Cook County, Illinois","1665","166","1280","185","385","108",
"1400000US17031081402","Census Tract 814.02, Cook County, Illinois","3947","248","3173","285","774","239",
"1400000US17031081403","Census Tract 814.03, Cook County, Illinois","7281","907","6057","924","1224","434",
"1400000US17031081500","Census Tract 815, Cook County, Illinois","4346","651","3225","658","1121","285",
"1400000US17031081600","Census Tract 816, Cook County, Illinois","2975","216","2558","283","417","203",
"1400000US17031081700","Census Tract 817, Cook County, Illinois","3334","377","2989","356","345","166",
"1400000US17031081800","Census Tract 818, Cook County, Illinois","7226","668","6634","702","592","313",
"1400000US17031081900","Census Tract 819, Cook County, Illinois","1044","152","551","143","493","66",
"1400000US17031090100","Census Tract 901, Cook County, Illinois","1449","152","1361","145","88","100",
"1400000US17031090200","Census Tract 902, Cook County, Illinois","2801","264","2596","293","205","106",
"1400000US17031090300","Census Tract 903, Cook County, Illinois","536","64","504","73","32","32",
"1400000US17031100100","Census Tract 1001, Cook County, Illinois","2264","187","2094","210","170","131",
"1400000US17031100200","Census Tract 1002, Cook County, Illinois","2802","230","2746","239","56","56",
"1400000US17031100300","Census Tract 1003, Cook County, Illinois","2863","216","2718","252","145","138",
"1400000US17031100400","Census Tract 1004, Cook County, Illinois","1256","155","1256","155","0","12",
"1400000US17031100500","Census Tract 1005, Cook County, Illinois","2366","375","2305","378","61","71",
"1400000US17031100600","Census Tract 1006, Cook County, Illinois","1901","164","1839","177","62","50",
"1400000US17031100700","Census Tract 1007, Cook County, Illinois","1888","148","1811","162","77","61",
"1400000US17031110100","Census Tract 1101, Cook County, Illinois","2379","399","2162","404","217","85",
"1400000US17031110200","Census Tract 1102, Cook County, Illinois","1422","258","1311","257","111","94",
"1400000US17031110300","Census Tract 1103, Cook County, Illinois","1959","187","1848","205","111","71",
"1400000US17031110400","Census Tract 1104, Cook County, Illinois","2033","165","1797","156","236","113",
"1400000US17031110501","Census Tract 1105.01, Cook County, Illinois","1990","231","1834","244","156","86",
"1400000US17031110502","Census Tract 1105.02, Cook County, Illinois","1663","251","1569","265","94","71",
"1400000US17031120100","Census Tract 1201, Cook County, Illinois","1589","141","1513","149","76","62",
"1400000US17031120200","Census Tract 1202, Cook County, Illinois","1831","147","1794","157","37","46",
"1400000US17031120300","Census Tract 1203, Cook County, Illinois","2512","274","2512","274","0","17",
"1400000US17031120400","Census Tract 1204, Cook County, Illinois","1321","122","1263","128","58","53",
"1400000US17031130100","Census Tract 1301, Cook County, Illinois","1848","182","1797","177","51","53",
"1400000US17031130200","Census Tract 1302, Cook County, Illinois","751","200","726","198","25","33",
"1400000US17031130300","Census Tract 1303, Cook County, Illinois","2009","214","1815","233","194","78",
"1400000US17031140100","Census Tract 1401, Cook County, Illinois","1288","157","1160","176","128","71",
"1400000US17031140200","Census Tract 1402, Cook County, Illinois","2089","205","1906","201","183","93",
"1400000US17031140301","Census Tract 1403.01, Cook County, Illinois","939","126","863","134","76","49",
"1400000US17031140302","Census Tract 1403.02, Cook County, Illinois","1425","207","1300","209","125","77",
"1400000US17031140400","Census Tract 1404, Cook County, Illinois","2185","186","2059","186","126","109",
"1400000US17031140500","Census Tract 1405, Cook County, Illinois","1395","164","1299","162","96","66",
"1400000US17031140601","Census Tract 1406.01, Cook County, Illinois","893","92","839","90","54","40",
"1400000US17031140602","Census Tract 1406.02, Cook County, Illinois","1828","172","1673","185","155","103",
"1400000US17031140701","Census Tract 1407.01, Cook County, Illinois","1119","117","1052","113","67","42",
"1400000US17031140702","Census Tract 1407.02, Cook County, Illinois","2208","246","2111","245","97","58",
"1400000US17031140800","Census Tract 1408, Cook County, Illinois","2861","288","2520","310","341","172",
"1400000US17031150200","Census Tract 1502, Cook County, Illinois","3367","311","2904","343","463","166",
"1400000US17031150300","Census Tract 1503, Cook County, Illinois","3240","283","3008","295","232","125",
"1400000US17031150401","Census Tract 1504.01, Cook County, Illinois","1828","141","1673","158","155","84",
"1400000US17031150402","Census Tract 1504.02, Cook County, Illinois","1389","97","1220","105","169","80",
"1400000US17031150501","Census Tract 1505.01, Cook County, Illinois","1568","184","1478","197","90","72",
"1400000US17031150502","Census Tract 1505.02, Cook County, Illinois","1655","200","1520","214","135","83",
"1400000US17031150600","Census Tract 1506, Cook County, Illinois","1576","193","1435","218","141","78",
"1400000US17031150700","Census Tract 1507, Cook County, Illinois","1550","152","1340","172","210","94",
"1400000US17031150800","Census Tract 1508, Cook County, Illinois","1765","180","1637","186","128","87",
"1400000US17031151001","Census Tract 1510.01, Cook County, Illinois","1004","86","888","101","116","49",
"1400000US17031151002","Census Tract 1510.02, Cook County, Illinois","1681","168","1527","175","154","64",
"1400000US17031151100","Census Tract 1511, Cook County, Illinois","1886","194","1781","207","105","65",
"1400000US17031151200","Census Tract 1512, Cook County, Illinois","1349","175","1272","191","77","56",
"1400000US17031160100","Census Tract 1601, Cook County, Illinois","1059","134","977","139","82","61",
"1400000US17031160200","Census Tract 1602, Cook County, Illinois","1301","123","1207","129","94","59",
"1400000US17031160300","Census Tract 1603, Cook County, Illinois","2019","192","1789","192","230","120",
"1400000US17031160400","Census Tract 1604, Cook County, Illinois","2160","259","1931","278","229","96",
"1400000US17031160501","Census Tract 1605.01, Cook County, Illinois","1442","154","1227","176","215","100",
"1400000US17031160502","Census Tract 1605.02, Cook County, Illinois","1555","243","1469","253","86","63",
"1400000US17031160601","Census Tract 1606.01, Cook County, Illinois","1554","202","1375","209","179","89",
"1400000US17031160602","Census Tract 1606.02, Cook County, Illinois","1659","144","1493","161","166","81",
"1400000US17031160700","Census Tract 1607, Cook County, Illinois","2673","415","2494","393","179","151",
"1400000US17031160800","Census Tract 1608, Cook County, Illinois","2016","258","1863","281","153","96",
"1400000US17031160900","Census Tract 1609, Cook County, Illinois","1136","118","1093","126","43","38",
"1400000US17031161000","Census Tract 1610, Cook County, Illinois","874","100","802","103","72","42",
