"GEO_ID","NAME","B25058_001E","B25058_001M",
"Geography","Geographic Area Name","Estimate!!Median contract rent","Margin of Error!!Median contract rent",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","1114","135",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","1240","112",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","1325","116",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","1127","64",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","1176","89",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","1500","178",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","1281","87",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","1359","135",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","1362","133",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","1303","86",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","1102","55",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","1437","105",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","1192","139",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","1268","184",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","1400","227",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","1406","216",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","1519","661",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","1532","376",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","1337","244",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","1678","191",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","1063","331",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","1717","105",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","2106","490",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","1381","234",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","1418","185",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","1312","123",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","1389","131",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","1644","95",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","-","**",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","1626","73",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","1280","91",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","1624","165",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","1735","157",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","1760","127",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","1757","175",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","1333","68",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","1212","145",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","1484","150",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","1572","119",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","1666","199",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","1809","131",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","1830","142",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","1770","263",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","2048","267",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","1661","153",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","1697","164",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","1936","147",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","1496","145",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","1596","156",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","1404","73",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","1495","121",
