"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","426100","75818",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","340400","75563",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","228800","51811",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","281900","44316",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","202900","25652",
"1400000US17031030701","Census Tract 307.01, Cook County, Illinois","179200","85939",
"1400000US17031030702","Census Tract 307.02, Cook County, Illinois","169900","9300",
"1400000US17031030703","Census Tract 307.03, Cook County, Illinois","229900","19887",
"1400000US17031030706","Census Tract 307.06, Cook County, Illinois","283100","101223",
"1400000US17031030800","Census Tract 308, Cook County, Illinois","509500","79514",
"1400000US17031030900","Census Tract 309, Cook County, Illinois","391500","32552",
"1400000US17031031000","Census Tract 310, Cook County, Illinois","401100","91284",
"1400000US17031031100","Census Tract 311, Cook County, Illinois","361100","76881",
"1400000US17031031200","Census Tract 312, Cook County, Illinois","268700","26083",
"1400000US17031031300","Census Tract 313, Cook County, Illinois","218300","48905",
"1400000US17031031400","Census Tract 314, Cook County, Illinois","235000","18808",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","321000","38884",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","255600","51141",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","347200","27626",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","380100","32656",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","341800","21493",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","293600","114578",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","440300","43112",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","371100","27759",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","243400","37888",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","372000","45518",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","456900","46386",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","436600","63049",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","781000","137210",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","368300","41746",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","396900","78934",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","535100","212216",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","673800","185591",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","613900","86977",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","637300","52325",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","681000","53513",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","599200","110978",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","530200","88617",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","812500","115697",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","689200","84711",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","524100","76918",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","665200","39200",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","675000","299342",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","598200","49135",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","467000","30862",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","472500","117776",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","686000","288755",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","534400","132603",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","605600","45002",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","778000","89335",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","198600","31072",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","212600","39658",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","475700","34761",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","544500","67102",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","809600","140790",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","601800","100999",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","393500","68128",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","310800","144436",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","418300","54573",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","366100","60257",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","450000","37471",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","602300","60701",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","805800","136268",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","595700","63165",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","485500","52622",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","756000","92339",
